Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.61,0.9099999999999999,0.5165988005110821
100% Corpus,5,0.61,symmetric,0.550081562514732
100% Corpus,5,0.9099999999999999,0.01,0.5617261599435542
100% Corpus,5,0.9099999999999999,0.31,0.541514201822043
100% Corpus,5,0.9099999999999999,0.61,0.5101369942862253
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5077029947989578
100% Corpus,5,0.9099999999999999,symmetric,0.5240372216343175
100% Corpus,5,symmetric,0.01,0.5945577319150049
100% Corpus,5,symmetric,0.31,0.530080888693919
100% Corpus,5,symmetric,0.61,0.5544895914507286
100% Corpus,5,symmetric,0.9099999999999999,0.5557689348007975
100% Corpus,5,symmetric,symmetric,0.5532469716436245
100% Corpus,5,asymmetric,0.01,0.4910521352129706
100% Corpus,5,asymmetric,0.31,0.4210442614776123
100% Corpus,5,asymmetric,0.61,0.3902338220302234
100% Corpus,5,asymmetric,0.9099999999999999,0.44374181584602007
100% Corpus,5,asymmetric,symmetric,0.4054953482224586
100% Corpus,6,0.01,0.01,0.5372291011681981
100% Corpus,6,0.01,0.31,0.5749121185191731
100% Corpus,6,0.01,0.61,0.576242894252078
100% Corpus,6,0.01,0.9099999999999999,0.5698167093831172
100% Corpus,6,0.01,symmetric,0.535602131439244
100% Corpus,6,0.31,0.01,0.5472351460233053
100% Corpus,6,0.31,0.31,0.5770859093292826
100% Corpus,6,0.31,0.61,0.5615728733553217
100% Corpus,6,0.31,0.9099999999999999,0.5388796632719791
100% Corpus,6,0.31,symmetric,0.5542807152257626
100% Corpus,6,0.61,0.01,0.550171312390824
100% Corpus,6,0.61,0.31,0.5132873418852794
100% Corpus,6,0.61,0.61,0.4760728025686464
100% Corpus,6,0.61,0.9099999999999999,0.4308295151118899
100% Corpus,6,0.61,symmetric,0.521439125929879
100% Corpus,6,0.9099999999999999,0.01,0.5377562885819666
100% Corpus,6,0.9099999999999999,0.31,0.5175759420839646
100% Corpus,6,0.9099999999999999,0.61,0.45922092165793266
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5234216102213103
100% Corpus,6,0.9099999999999999,symmetric,0.5448332094270717
100% Corpus,6,symmetric,0.01,0.5674575785787556
100% Corpus,6,symmetric,0.31,0.5399938528314346
100% Corpus,6,symmetric,0.61,0.5564759356660579
100% Corpus,6,symmetric,0.9099999999999999,0.5280105687864108
100% Corpus,6,symmetric,symmetric,0.5367642070327449
100% Corpus,6,asymmetric,0.01,0.4466132820475282
100% Corpus,6,asymmetric,0.31,0.457423078373981
100% Corpus,6,asymmetric,0.61,0.4203080436698538
100% Corpus,6,asymmetric,0.9099999999999999,0.42551947902165477
100% Corpus,6,asymmetric,symmetric,0.41906339942582144
100% Corpus,7,0.01,0.01,0.5638423907808975
100% Corpus,7,0.01,0.31,0.5449314208623713
100% Corpus,7,0.01,0.61,0.5440868090606225
100% Corpus,7,0.01,0.9099999999999999,0.531792886987496
100% Corpus,7,0.01,symmetric,0.5623757071426192
100% Corpus,7,0.31,0.01,0.5647248642372442
100% Corpus,7,0.31,0.31,0.5232845551986022
100% Corpus,7,0.31,0.61,0.5274994812325543
100% Corpus,7,0.31,0.9099999999999999,0.4943458411355814
100% Corpus,7,0.31,symmetric,0.5654757067449917
100% Corpus,7,0.61,0.01,0.5070732336820329
100% Corpus,7,0.61,0.31,0.49709740465529145
100% Corpus,7,0.61,0.61,0.4432891029487394
100% Corpus,7,0.61,0.9099999999999999,0.4157464746197524
100% Corpus,7,0.61,symmetric,0.501052427676093
100% Corpus,7,0.9099999999999999,0.01,0.5354608672190343
100% Corpus,7,0.9099999999999999,0.31,0.4832157263233227
100% Corpus,7,0.9099999999999999,0.61,0.4403848030086589
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5951536877514138
100% Corpus,7,0.9099999999999999,symmetric,0.5041059834758427
100% Corpus,7,symmetric,0.01,0.5416154742887461
100% Corpus,7,symmetric,0.31,0.5684662871555836
100% Corpus,7,symmetric,0.61,0.5517229175817882
100% Corpus,7,symmetric,0.9099999999999999,0.5444518744321722
100% Corpus,7,symmetric,symmetric,0.566318343862507
100% Corpus,7,asymmetric,0.01,0.45559802630228435
100% Corpus,7,asymmetric,0.31,0.4242779916992615
100% Corpus,7,asymmetric,0.61,0.3929787444238742
100% Corpus,7,asymmetric,0.9099999999999999,0.40584880521719563
100% Corpus,7,asymmetric,symmetric,0.4218620946115936
100% Corpus,8,0.01,0.01,0.5591476907268598
100% Corpus,8,0.01,0.31,0.5526259915200569
100% Corpus,8,0.01,0.61,0.5652832000225667
100% Corpus,8,0.01,0.9099999999999999,0.5245385002767465
100% Corpus,8,0.01,symmetric,0.5919865675951026
100% Corpus,8,0.31,0.01,0.5269427663976258
100% Corpus,8,0.31,0.31,0.5074447201793482
100% Corpus,8,0.31,0.61,0.5169957433719403
100% Corpus,8,0.31,0.9099999999999999,0.4878415876825596
100% Corpus,8,0.31,symmetric,0.5203182988183055
100% Corpus,8,0.61,0.01,0.4934716773467055
100% Corpus,8,0.61,0.31,0.47557234334983245
100% Corpus,8,0.61,0.61,0.37941142855297716
100% Corpus,8,0.61,0.9099999999999999,0.3717031751714647
100% Corpus,8,0.61,symmetric,0.4780482899790418
100% Corpus,8,0.9099999999999999,0.01,0.5439500427340361
100% Corpus,8,0.9099999999999999,0.31,0.4476833035742329
100% Corpus,8,0.9099999999999999,0.61,0.5111817444277372
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.6353303291182433
100% Corpus,8,0.9099999999999999,symmetric,0.4918311429772739
100% Corpus,8,symmetric,0.01,0.5781331931665742
100% Corpus,8,symmetric,0.31,0.5578230223438734
100% Corpus,8,symmetric,0.61,0.552305488493782
100% Corpus,8,symmetric,0.9099999999999999,0.5556014189865193
100% Corpus,8,symmetric,symmetric,0.5488683547810945
100% Corpus,8,asymmetric,0.01,0.41720197651850244
100% Corpus,8,asymmetric,0.31,0.38293879555089283
100% Corpus,8,asymmetric,0.61,0.40248793027343144
100% Corpus,8,asymmetric,0.9099999999999999,0.4030479778935377
100% Corpus,8,asymmetric,symmetric,0.42064637606978567
100% Corpus,9,0.01,0.01,0.5922588648655702
100% Corpus,9,0.01,0.31,0.521365897633504
100% Corpus,9,0.01,0.61,0.5028701701583839
100% Corpus,9,0.01,0.9099999999999999,0.45613480301445086
100% Corpus,9,0.01,symmetric,0.5596633520508374
100% Corpus,9,0.31,0.01,0.5259219970183279
100% Corpus,9,0.31,0.31,0.5019995249851195
